unified_id,entity_type,entity_type_name,entity_name
106,2,Gene,PM20D2
107,2,Gene,KAT2A
108,2,Gene,KLF7
109,2,Gene,GRB7
110,2,Gene,LPAR1
111,2,Gene,RTBDN
112,2,Gene,ATP1B3
113,2,Gene,TBC1D9B
114,2,Gene,VIPR1
115,2,Gene,RAB18
116,2,Gene,PDGFRA
117,2,Gene,BICD2
118,2,Gene,HIVEP1
119,2,Gene,NFYC
120,2,Gene,PLCB2
121,2,Gene,C22orf42
122,2,Gene,MAST4
123,2,Gene,SOX4
124,2,Gene,DNAJC30
125,2,Gene,MBNL1
126,2,Gene,MCM8
127,2,Gene,XRN1
128,2,Gene,PSMD13
129,2,Gene,ACAP1
130,2,Gene,TLK1
131,2,Gene,SMAD7
132,2,Gene,KIF20A
133,2,Gene,NSUN5
134,2,Gene,ASB7
135,2,Gene,WDR55
136,2,Gene,TMEM102
137,2,Gene,ENPP6
138,2,Gene,STOML3
139,2,Gene,FHOD3
140,2,Gene,RFTN1
141,2,Gene,ZBTB2
142,2,Gene,C1orf210
143,2,Gene,WLS
144,2,Gene,PUM2
145,2,Gene,NAF1
146,2,Gene,VPS29
147,2,Gene,BMPR1A
148,2,Gene,TIRAP
149,2,Gene,ZNF511
150,2,Gene,LCN15
151,2,Gene,CPSF2
152,2,Gene,ANKH
153,2,Gene,IL1RAP
154,2,Gene,NUDT4B
155,2,Gene,CDK9
156,2,Gene,PRKACG
157,2,Gene,MAPT
158,2,Gene,PSMB9
159,2,Gene,MME
160,2,Gene,SLU7
161,2,Gene,RGS7
162,2,Gene,ZNF335
163,2,Gene,CTAG2
164,2,Gene,CD300C
165,2,Gene,H2AC17
166,2,Gene,PJVK
167,2,Gene,LDHB
168,2,Gene,SCO2
169,2,Gene,CMIP
170,2,Gene,ARFGAP1
171,2,Gene,CYLD
172,2,Gene,UBE2I
173,2,Gene,NDUFA3
174,2,Gene,TRAPPC9
175,2,Gene,OR2T8
176,2,Gene,SLC66A1
177,2,Gene,ADRB1
178,2,Gene,ECM2
179,2,Gene,IMMP2L
180,2,Gene,CDK19
181,2,Gene,LAYN
182,2,Gene,PPM1M
183,2,Gene,CDH19
184,2,Gene,SPATS2L
185,2,Gene,TMEM186
186,2,Gene,DKK3
187,2,Gene,PABPC4L
188,2,Gene,TMEM213
189,2,Gene,PRRX2
190,2,Gene,TUT1
191,2,Gene,OR2K2
192,2,Gene,FOXL2
193,2,Gene,ATP7A
194,2,Gene,SCN2B
195,2,Gene,EEF1G
196,2,Gene,ST6GALNAC5
197,2,Gene,ZNF653
198,2,Gene,PRKCH
199,2,Gene,SPOCK1
200,2,Gene,NXF1
201,2,Gene,MC4R
202,2,Gene,WARS2
203,2,Gene,RAD21
204,2,Gene,SPATA4
205,2,Gene,VHL
206,2,Gene,RABGAP1L
207,2,Gene,GADD45GIP1
208,2,Gene,IFI6
209,2,Gene,FOXI1
210,2,Gene,FBLN1
211,2,Gene,RGP1
212,2,Gene,SLC41A2
213,2,Gene,A2M
214,2,Gene,INAVA
215,2,Gene,CYB5R3
216,2,Gene,CSNK2A1
217,2,Gene,DAZ3
218,2,Gene,TNFRSF6B
219,2,Gene,GEMIN6
220,2,Gene,SPDYA
221,2,Gene,COL25A1
222,2,Gene,CACUL1
223,2,Gene,P4HA2
224,2,Gene,WNK1
225,2,Gene,FKBP11
226,2,Gene,HOXC10
227,2,Gene,ANAPC5
228,2,Gene,STMN3
229,2,Gene,CAPN1
230,2,Gene,RHOG
231,2,Gene,HCCS
232,2,Gene,ST6GAL1
233,2,Gene,RPLP1
234,2,Gene,VTI1B
235,2,Gene,EMILIN2
236,2,Gene,LRRC6
237,2,Gene,WDR7
238,2,Gene,PTGER4
239,2,Gene,PMAIP1
240,2,Gene,PRSS33
241,2,Gene,MICU1
242,2,Gene,FLT3
243,2,Gene,NADK
244,2,Gene,LYAR
245,2,Gene,CYP3A4
246,2,Gene,STRBP
247,2,Gene,FAM216A
248,2,Gene,TACR1
249,2,Gene,MYO1B
250,2,Gene,CENPU
251,2,Gene,FAXC
252,2,Gene,LILRB5
253,2,Gene,EIF2B3
254,2,Gene,GRWD1
255,2,Gene,TPST2
256,2,Gene,LILRA1
257,2,Gene,SEMA4A
258,2,Gene,LTN1
259,2,Gene,LCE1B
260,2,Gene,MRM1
261,2,Gene,TMEM17
262,2,Gene,BRCA1
263,2,Gene,GLRX5
264,2,Gene,MRPL13
265,2,Gene,GPR18
266,2,Gene,EIF2S1
267,2,Gene,PPP2R3A
268,2,Gene,PCDHB2
269,2,Gene,PBRM1
270,2,Gene,RPS4X
271,2,Gene,ZNF200
272,2,Gene,ATP11A
273,2,Gene,HCN3
274,2,Gene,FXYD3
275,2,Gene,COPB2
276,2,Gene,MARK4
277,2,Gene,ZRANB2
278,2,Gene,ARL5B
279,2,Gene,CLDN3
280,2,Gene,CPSF7
281,2,Gene,UBXN1
282,2,Gene,KIF7
283,2,Gene,NDUFB9
284,2,Gene,SST
285,2,Gene,CLU
286,2,Gene,VWCE
287,2,Gene,LACC1
288,2,Gene,TNFSF14
289,2,Gene,WEE2
290,2,Gene,SCAMP3
291,2,Gene,DCLRE1A
292,2,Gene,C5orf63
293,2,Gene,CSRP1
294,2,Gene,GPR183
295,2,Gene,CRTC1
296,2,Gene,RGS8
297,2,Gene,KDM6B
298,2,Gene,WSB2
299,2,Gene,GPHN
300,2,Gene,PGK1
301,2,Gene,ZFP37
302,2,Gene,MAPKBP1
303,2,Gene,TTC23
304,2,Gene,LRRC37A3
305,2,Gene,ZBTB12
306,2,Gene,ARHGAP23
307,2,Gene,ZIK1
308,2,Gene,UPF2
309,2,Gene,MLH3
310,2,Gene,TFCP2L1
311,2,Gene,KCNC4
312,2,Gene,PRPF3
313,2,Gene,ERAL1
314,2,Gene,TBL1XR1
315,2,Gene,TFPI
316,2,Gene,ZNRF3
317,2,Gene,DNAJB11
318,2,Gene,LAS1L
319,2,Gene,ADGRE5
320,2,Gene,SRPK2
321,2,Gene,IBSP
322,2,Gene,E2F8
323,2,Gene,VWA5B1
324,2,Gene,WWP2
325,2,Gene,MMP17
326,2,Gene,SMARCD2
327,2,Gene,MOK
328,2,Gene,SGSH
329,2,Gene,LHFPL6
330,2,Gene,SAE1
331,2,Gene,H3C8
332,2,Gene,TMBIM1
333,2,Gene,WDR1
334,2,Gene,NUP58
335,2,Gene,GPX2
336,2,Gene,CEACAM4
337,2,Gene,GSDMC
338,2,Gene,EPB41
339,2,Gene,WWC1
340,2,Gene,ACAT1
341,2,Gene,PDCD11
342,2,Gene,TSTD1
343,2,Gene,DAD1
344,2,Gene,SLC38A4
345,2,Gene,IDE
346,2,Gene,USP37
347,2,Gene,PGAP2
348,2,Gene,CHCHD3
349,2,Gene,MED14
350,2,Gene,DGKH
351,2,Gene,C6orf132
352,2,Gene,CARD18
353,2,Gene,BTAF1
354,2,Gene,TIMELESS
355,2,Gene,WDR61
356,2,Gene,POLDIP2
357,2,Gene,INS
358,2,Gene,GPR157
359,2,Gene,HTR4
360,2,Gene,ZDHHC17
361,2,Gene,FBXO42
362,2,Gene,MPO
363,2,Gene,C8A
364,2,Gene,RUNX1
365,2,Gene,PIBF1
366,2,Gene,SOAT1
367,2,Gene,EDAR
368,2,Gene,NFYA
369,2,Gene,FAHD2B
370,2,Gene,ELF3
371,2,Gene,TSPAN1
372,2,Gene,CBR1
373,2,Gene,MRPL19
374,2,Gene,ZMAT5
375,2,Gene,PPP1R3E
376,2,Gene,MAST2
377,2,Gene,DCUN1D2
378,2,Gene,PDPK1
379,2,Gene,LTBP2
380,2,Gene,MED19
381,2,Gene,PIGV
382,2,Gene,TXNDC16
383,2,Gene,KDM6A
384,2,Gene,FBH1
385,2,Gene,TTC12
386,2,Gene,NPHS1
387,2,Gene,TTN
388,2,Gene,RASGRF2
389,2,Gene,APTX
390,2,Gene,NEDD8
391,2,Gene,KAT8
392,2,Gene,MTMR3
393,2,Gene,PEX11B
394,2,Gene,MUS81
395,2,Gene,DNM3
396,2,Gene,ZC3H18
397,2,Gene,BARD1
398,2,Gene,FCRL4
399,2,Gene,WDR77
400,2,Gene,SKIV2L
401,2,Gene,CCL24
402,2,Gene,ACP6
403,2,Gene,GSDME
404,2,Gene,PLXNB2
405,2,Gene,TUBGCP3
406,2,Gene,RPP30
407,2,Gene,RBM39
408,2,Gene,CENPN
409,2,Gene,SNRNP200
410,2,Gene,TESC
411,2,Gene,SERPINB2
412,2,Gene,KIR2DL3
413,2,Gene,CRP
414,2,Gene,LDB1
415,2,Gene,CLIP4
416,2,Gene,ISY1
417,2,Gene,DUSP18
418,2,Gene,RPGRIP1
419,2,Gene,NT5C3B
420,2,Gene,PARD6B
421,2,Gene,LCN2
422,2,Gene,RNF144B
423,2,Gene,LYRM2
424,2,Gene,TRAF5
425,2,Gene,MAP4K5
426,2,Gene,SWT1
427,2,Gene,BAIAP2L2
428,2,Gene,NCOA1
429,2,Gene,AGFG2
430,2,Gene,RHBDD3
431,2,Gene,CBFB
432,2,Gene,ADAMTS17
433,2,Gene,PCGF6
434,2,Gene,ANKMY1
435,2,Gene,EMP3
436,2,Gene,ZNF568
437,2,Gene,PNLIPRP2
438,2,Gene,GINS1
439,2,Gene,HEXD
440,2,Gene,PRSS16
441,2,Gene,GPR62
442,2,Gene,SLC35A3
443,2,Gene,POLM
444,2,Gene,SMAD4
445,2,Gene,KIAA2026
446,2,Gene,BASP1
447,2,Gene,ATF5
448,2,Gene,DENND10
449,2,Gene,TBRG1
450,2,Gene,KCNIP3
451,2,Gene,YBX1
452,2,Gene,MIS18BP1
453,2,Gene,TRPC5OS
454,2,Gene,TNFAIP8L2
455,2,Gene,TCF21
456,2,Gene,METRNL
457,2,Gene,RNASEH1
458,2,Gene,EFEMP2
459,2,Gene,KCNS1
460,2,Gene,CAMK2N1
461,2,Gene,GGA1
462,2,Gene,TGFB1I1
463,2,Gene,H3-5
464,2,Gene,YARS1
465,2,Gene,ZC3HC1
466,2,Gene,HNRNPF
467,2,Gene,PRSS23
468,2,Gene,HTR3C
469,2,Gene,DHRS11
470,2,Gene,SEMG2
471,2,Gene,ARF4
472,2,Gene,EFNA2
473,2,Gene,ARGFX
474,2,Gene,ZNF345
475,2,Gene,SLFN11
476,2,Gene,MAPK6
477,2,Gene,FBXL7
478,2,Gene,PIK3CD
479,2,Gene,GMPR2
480,2,Gene,RBM14
481,2,Gene,ZNF175
482,2,Gene,N6AMT1
483,2,Gene,CPNE5
484,2,Gene,COPS2
485,2,Gene,RPL38
486,2,Gene,ZFR
487,2,Gene,MOB1B
488,2,Gene,POLB
489,2,Gene,FGF4
490,2,Gene,FCF1
491,2,Gene,CHRNA2
492,2,Gene,LCT
493,2,Gene,CDKL5
494,2,Gene,CSF2RB
495,2,Gene,RFC2
496,2,Gene,GIMAP4
497,2,Gene,SRA1
498,2,Gene,ZNF329
499,2,Gene,BEND2
500,2,Gene,KIF15
501,2,Gene,CDKL1
502,2,Gene,COP1
503,2,Gene,PAXX
504,2,Gene,AKR1B1
505,2,Gene,CALN1
506,2,Gene,HDAC2
507,2,Gene,ZFPM1
508,2,Gene,ZMYND15
509,2,Gene,ATP6V0A1
510,2,Gene,TMEM39B
511,2,Gene,PAX4
512,2,Gene,DDX54
513,2,Gene,ZNF428
514,2,Gene,ZNF341
515,2,Gene,CLEC11A
516,2,Gene,UBR1
517,2,Gene,PREX1
518,2,Gene,VPS41
519,2,Gene,PON3
520,2,Gene,MTMR6
521,2,Gene,ZNF117
522,2,Gene,GNG8
523,2,Gene,TMCC3
524,2,Gene,ZNF189
525,2,Gene,PFKFB2
526,2,Gene,SLC7A13
527,2,Gene,SH2D5
528,2,Gene,CCDC172
529,2,Gene,F13A1
530,2,Gene,WIPF2
531,2,Gene,HSDL2
532,2,Gene,RASGEF1A
533,2,Gene,PARL
534,2,Gene,ZC2HC1C
535,2,Gene,TIMP2
536,2,Gene,KLHL23
537,2,Gene,LRIG2
538,2,Gene,IL1B
539,2,Gene,GABPA
540,2,Gene,FAM193A
541,2,Gene,C11orf1
542,2,Gene,SUDS3
543,2,Gene,DFFB
544,2,Gene,EPOR
545,2,Gene,LAT2
546,2,Gene,RECQL
547,2,Gene,SLC15A3
548,2,Gene,CGNL1
549,2,Gene,FKBP14
550,2,Gene,SLC22A7
551,2,Gene,CXCL1
552,2,Gene,NVL
553,2,Gene,G0S2
554,2,Gene,ARG2
555,2,Gene,HSPB3
556,2,Gene,PCDHA1
557,2,Gene,RPS11
558,2,Gene,ZNF223
559,2,Gene,ADRA1D
560,2,Gene,HSPA1B
561,2,Gene,BCAP29
562,2,Gene,DPYS
563,2,Gene,OGFOD2
564,2,Gene,CACNA1A
565,2,Gene,SLPI
566,2,Gene,SLC22A6
567,2,Gene,ZNF41
568,2,Gene,TBX10
569,2,Gene,B4GALNT3
570,2,Gene,TBC1D10B
571,2,Gene,MPP6
572,2,Gene,RINT1
573,2,Gene,ILF2
574,2,Gene,TM9SF4
575,2,Gene,INA
576,2,Gene,SLC52A2
577,2,Gene,OR2M4
578,2,Gene,SLC44A3
579,2,Gene,IFIT1
580,2,Gene,COPS5
581,2,Gene,TSG101
582,2,Gene,DOLK
583,2,Gene,AMDHD2
584,2,Gene,CUL3
585,2,Gene,ANKHD1
586,2,Gene,SPI1
587,2,Gene,NGF
588,2,Gene,DNAJB9
589,2,Gene,GJA8
590,2,Gene,SH2D4A
591,2,Gene,FERD3L
592,2,Gene,HDAC3
593,2,Gene,PLA2G2F
594,2,Gene,REXO2
595,2,Gene,AP5Z1
596,2,Gene,AMHR2
597,2,Gene,EGR1
598,2,Gene,EFR3A
599,2,Gene,CBLL1
600,2,Gene,SULF1
601,2,Gene,UBE2K
602,2,Gene,SLC25A36
603,2,Gene,ABCB4
604,2,Gene,ACACA
605,2,Gene,BMP6
606,2,Gene,ZC3H15
607,2,Gene,CIP2A
608,2,Gene,SGCB
609,2,Gene,UQCRB
610,2,Gene,MEDAG
611,2,Gene,PPP2R3C
612,2,Gene,PATZ1
613,2,Gene,WDCP
614,2,Gene,DNAJC2
615,2,Gene,UBE3B
616,2,Gene,H1-10
617,2,Gene,SSR3
618,2,Gene,XKR6
619,2,Gene,KRTAP5-9
620,2,Gene,HOXC6
621,2,Gene,CSH2
622,2,Gene,H4C7
623,2,Gene,TNFRSF1A
624,2,Gene,SLC19A1
625,2,Gene,CCDC124
626,2,Gene,PIGK
627,2,Gene,ZNF787
628,2,Gene,NDUFV2
629,2,Gene,PTGER1
630,2,Gene,LAP3
631,2,Gene,AHSA1
632,2,Gene,OTUD7A
633,2,Gene,ERG28
634,2,Gene,MTSS1
635,2,Gene,SRR
636,2,Gene,CDH20
637,2,Gene,POT1
638,2,Gene,UGCG
639,2,Gene,PCDH1
640,2,Gene,RTP4
641,2,Gene,LIF
642,2,Gene,BTBD2
643,2,Gene,OSGIN1
644,2,Gene,BACH1
645,2,Gene,CYP2J2
646,2,Gene,RPS23
647,2,Gene,PHLDA2
648,2,Gene,ANKRD46
649,2,Gene,HAUS6
650,2,Gene,PRMT8
651,2,Gene,CD27
652,2,Gene,HLTF
653,2,Gene,MDM2
654,2,Gene,PTPRA
655,2,Gene,EYA4
656,2,Gene,UBXN7
657,2,Gene,IVNS1ABP
658,2,Gene,KCNJ6
659,2,Gene,PLBD1
660,2,Gene,BAK1
661,2,Gene,CCDC130
662,2,Gene,GIT2
663,2,Gene,BUB1B
664,2,Gene,GNL3L
665,2,Gene,CRYAA
666,2,Gene,OR7A10
667,2,Gene,MTREX
668,2,Gene,GLIPR1
669,2,Gene,THAP12
670,2,Gene,HARBI1
671,2,Gene,AOC3
672,2,Gene,DDX28
673,2,Gene,MPHOSPH6
674,2,Gene,VDAC2
675,2,Gene,IKBKE
676,2,Gene,DUS2
677,2,Gene,NPR2
678,2,Gene,GPR3
679,2,Gene,SKA1
680,2,Gene,RASGRF1
681,2,Gene,CHMP4B
682,2,Gene,FBN1
683,2,Gene,CSNK1E
684,2,Gene,ZNF669
685,2,Gene,PLCB1
686,2,Gene,SERPINB8
687,2,Gene,CBX2
688,2,Gene,TRIM8
689,2,Gene,SDE2
690,2,Gene,NDUFB2
691,2,Gene,THOC6
692,2,Gene,LHFPL5
693,2,Gene,SLC2A1
694,2,Gene,DGKI
695,2,Gene,CDC37
696,2,Gene,FAM160A2
697,2,Gene,SFXN2
698,2,Gene,SCAMP1
699,2,Gene,INTS3
700,2,Gene,PRRG2
701,2,Gene,TNK1
702,2,Gene,SLC45A2
703,2,Gene,AUP1
704,2,Gene,KHDC3L
705,2,Gene,CORO7
706,2,Gene,FOSL2
707,2,Gene,OR2H2
708,2,Gene,KIAA0895
709,2,Gene,FKBP5
710,2,Gene,LNPEP
711,2,Gene,DSC1
712,2,Gene,RAMP3
713,2,Gene,DNAJC7
714,2,Gene,PDIK1L
715,2,Gene,AP1M2
716,2,Gene,XRRA1
717,2,Gene,RPA4
718,2,Gene,GLP1R
719,2,Gene,TAPT1
720,2,Gene,CCHCR1
721,2,Gene,LRRC20
722,2,Gene,ARHGEF2
723,2,Gene,KRT6C
724,2,Gene,LBHD1
725,2,Gene,RPL13A
726,2,Gene,BNIP3
727,2,Gene,NT5C3A
728,2,Gene,CCDC92
729,2,Gene,GRK6
730,2,Gene,CDIPT
731,2,Gene,CD48
732,2,Gene,SULT1E1
733,2,Gene,APOBEC1
734,2,Gene,MRPL9
735,2,Gene,ELAVL4
736,2,Gene,TRPM6
737,2,Gene,LEXM
738,2,Gene,KIFC3
739,2,Gene,AZI2
740,2,Gene,ZNF584
741,2,Gene,TXNDC15
742,2,Gene,TRIM49
743,2,Gene,P2RY14
744,2,Gene,GADD45B
745,2,Gene,TRAF3IP3
746,2,Gene,CXCL10
747,2,Gene,ACVR1
748,2,Gene,CTTNBP2NL
749,2,Gene,OBI1
750,2,Gene,TAF10
751,2,Gene,OSBPL5
752,2,Gene,SAMD4A
753,2,Gene,ORM2
754,2,Gene,BABAM1
755,2,Gene,GRIK1
756,2,Gene,PHETA2
757,2,Gene,ANKRD1
758,2,Gene,DMBX1
759,2,Gene,EHD1
760,2,Gene,TAGLN2
761,2,Gene,RS1
762,2,Gene,CHFR
763,2,Gene,POLR2H
764,2,Gene,C9orf78
765,2,Gene,DDI1
766,2,Gene,FSTL3
767,2,Gene,TRIM7
768,2,Gene,ALDH1A3
769,2,Gene,RASAL2
770,2,Gene,SNRPD1
771,2,Gene,MMAA
772,2,Gene,PWP2
773,2,Gene,ZNF398
774,2,Gene,KLF1
775,2,Gene,GALNT14
776,2,Gene,GPR89A
777,2,Gene,FAM167A
778,2,Gene,CDH11
779,2,Gene,ACOT2
780,2,Gene,YJU2
781,2,Gene,DGKE
782,2,Gene,UBE2E2
783,2,Gene,FOXJ3
784,2,Gene,PARP16
785,2,Gene,VAMP5
786,2,Gene,ARF1
787,2,Gene,C4orf46
788,2,Gene,EEF1D
789,2,Gene,RNF38
790,2,Gene,ZNF134
791,2,Gene,TMEM143
792,2,Gene,CAND1
793,2,Gene,PIK3C2A
794,2,Gene,DMWD
795,2,Gene,CA2
796,2,Gene,ZAN
797,2,Gene,ALG2
798,2,Gene,SFPQ
799,2,Gene,KPRP
800,2,Gene,PAFAH1B1
801,2,Gene,IPO11
802,2,Gene,USP5
803,2,Gene,DDAH1
804,2,Gene,SPATS1
805,2,Gene,REV1
806,2,Gene,U2AF1L4
807,2,Gene,SEZ6L2
808,2,Gene,UTP25
809,2,Gene,ACOT4
810,2,Gene,LAMTOR5
811,2,Gene,ESPL1
812,2,Gene,MECR
813,2,Gene,CHRM1
814,2,Gene,CIB3
815,2,Gene,AGRN
816,2,Gene,STK4
817,2,Gene,FGFR2
818,2,Gene,HRAS
819,2,Gene,RET
820,2,Gene,CCNA2
821,2,Gene,TPP2
822,2,Gene,PDE10A
823,2,Gene,HUWE1
824,2,Gene,NF2
825,2,Gene,MAT2A
826,2,Gene,DHRS13
827,2,Gene,GNPAT
828,2,Gene,NAALADL1
829,2,Gene,CCT2
830,2,Gene,TRIM14
831,2,Gene,TMEM44
832,2,Gene,MARCKS
833,2,Gene,BCR
834,2,Gene,TENT5B
835,2,Gene,GADD45A
836,2,Gene,CLCA4
837,2,Gene,FIZ1
838,2,Gene,ETFRF1
839,2,Gene,EDA2R
840,2,Gene,FBXW8
841,2,Gene,PDAP1
842,2,Gene,PGS1
843,2,Gene,CXorf21
844,2,Gene,GORASP1
845,2,Gene,IFNA14
846,2,Gene,ADAMTS12
847,2,Gene,GPR139
848,2,Gene,CD3G
849,2,Gene,GSKIP
850,2,Gene,ELOVL7
851,2,Gene,SP3
852,2,Gene,HMGB1
853,2,Gene,FLYWCH1
854,2,Gene,SEL1L
855,2,Gene,MRPL47
856,2,Gene,TLE4
857,2,Gene,PEX2
858,2,Gene,ANP32A
859,2,Gene,SLFN5
860,2,Gene,PRKCZ
861,2,Gene,NIPBL
862,2,Gene,ERI1
863,2,Gene,ADCY3
864,2,Gene,TSEN2
865,2,Gene,DEFA5
866,2,Gene,KLHL38
867,2,Gene,PLA2R1
868,2,Gene,MAPK14
869,2,Gene,ODF1
870,2,Gene,ZNF607
871,2,Gene,NFIC
872,2,Gene,RPL27
873,2,Gene,CNBD2
874,2,Gene,PLOD3
875,2,Gene,TSEN54
876,2,Gene,NPAS4
877,2,Gene,TTLL3
878,2,Gene,NCAPD3
879,2,Gene,PKLR
880,2,Gene,ZNF44
881,2,Gene,HIPK1
882,2,Gene,SYPL2
883,2,Gene,C2CD2
884,2,Gene,TAF15
885,2,Gene,ATP6V1C1
886,2,Gene,TPT1
887,2,Gene,TRIM3
888,2,Gene,S100B
889,2,Gene,LAPTM4B
890,2,Gene,TBCB
891,2,Gene,SSH2
892,2,Gene,POMC
893,2,Gene,FDCSP
894,2,Gene,EXOC4
895,2,Gene,MRPS22
896,2,Gene,RPL7A
897,2,Gene,IQCC
898,2,Gene,SLC27A2
899,2,Gene,RNF44
900,2,Gene,SNU13
901,2,Gene,KLK1
902,2,Gene,ZNF263
903,2,Gene,COL4A3
904,2,Gene,CLMN
905,2,Gene,SERPINB12
906,2,Gene,SPATA46
907,2,Gene,GP5
908,2,Gene,MT4
909,2,Gene,BRICD5
910,2,Gene,C11orf68
911,2,Gene,PCDHGA10
912,2,Gene,CYBRD1
913,2,Gene,HNRNPAB
914,2,Gene,EHBP1L1
915,2,Gene,BMP3
916,2,Gene,C2orf15
917,2,Gene,THOC3
918,2,Gene,GRM2
919,2,Gene,ORC3
920,2,Gene,MAGI1
921,2,Gene,RPS6KB1
922,2,Gene,PPIH
923,2,Gene,LRRC18
924,2,Gene,IL26
925,2,Gene,STX19
926,2,Gene,GALR3
927,2,Gene,PXDC1
928,2,Gene,IFRD1
929,2,Gene,BIRC7
930,2,Gene,SLIT2
931,2,Gene,IPO5
932,2,Gene,TUBGCP5
933,2,Gene,MACROH2A2
934,2,Gene,SLC25A10
935,2,Gene,ZNF829
936,2,Gene,RING1
937,2,Gene,IL17A
938,2,Gene,NCK1
939,2,Gene,PCSK4
940,2,Gene,NDUFS3
941,2,Gene,DRAM1
942,2,Gene,H3C4
943,2,Gene,ABI3
944,2,Gene,WRNIP1
945,2,Gene,TOM1L1
946,2,Gene,AP4S1
947,2,Gene,LZTS2
948,2,Gene,ANKRD16
949,2,Gene,COPS6
950,2,Gene,ADK
951,2,Gene,DHX16
952,2,Gene,GTF3A
953,2,Gene,XPO1
954,2,Gene,EPHA6
955,2,Gene,TACC2
956,2,Gene,NDUFA11
957,2,Gene,MTPAP
958,2,Gene,PCNA
959,2,Gene,SCN8A
960,2,Gene,H3C10
961,2,Gene,SGMS1
962,2,Gene,SRGAP2
963,2,Gene,RRP9
964,2,Gene,PPIB
965,2,Gene,TRIM22
966,2,Gene,ZNF91
967,2,Gene,WNK3
968,2,Gene,ZNF654
969,2,Gene,EIF5A2
970,2,Gene,SMPD2
971,2,Gene,COQ2
972,2,Gene,ASCC2
973,2,Gene,REEP3
974,2,Gene,MCM6
975,2,Gene,MRPS9
976,2,Gene,MYBPC3
977,2,Gene,KIF4A
978,2,Gene,ZNF550
979,2,Gene,IGFBP3
980,2,Gene,PAM16
981,2,Gene,GLA
982,2,Gene,UTP23
983,2,Gene,MOCS1
984,2,Gene,PSME3
985,2,Gene,RFXAP
986,2,Gene,ACR
987,2,Gene,CASQ1
988,2,Gene,H2AC15
989,2,Gene,TPCN1
990,2,Gene,SLITRK3
991,2,Gene,BMP8A
992,2,Gene,EMD
993,2,Gene,KANSL2
994,2,Gene,PRDM2
995,2,Gene,EXOC6B
996,2,Gene,GALE
997,2,Gene,PABPC1
998,2,Gene,CEP152
999,2,Gene,SPATA6L
1000,2,Gene,MED15
1001,2,Gene,PBX3
1002,2,Gene,RNF138
1003,2,Gene,MSMP
1004,2,Gene,HOXA13
1005,2,Gene,NSRP1
